         x      flux
   41.055298    0.681840
   41.121303    0.680861
   41.187309    0.679881
   41.253314    0.678899
   41.319319    0.677916
   41.385325    0.676932
   41.451330    0.675946
   41.517335    0.674960
   41.583341    0.673971
   41.649346    0.672982
   41.715351    0.671991
   41.781356    0.670998
   41.847362    0.670005
   41.913367    0.669010
   41.979372    0.668014
   42.045378    0.667016
   42.111383    0.666017
   42.177388    0.665017
   42.243394    0.664015
   42.309399    0.663013
   42.375404    0.662008
   42.441409    0.661003
   42.507415    0.659996
   42.573420    0.658988
   42.639425    0.657978
   42.705431    0.656968
   42.771436    0.655955
   42.837441    0.654942
   42.903447    0.653927
   42.969452    0.652911
   43.035457    0.651894
   43.101462    0.650875
   43.167468    0.649855
   43.233473    0.648834
   43.299478    0.647811
   43.365484    0.646787
   43.431489    0.645762
   43.497494    0.644735
   43.563500    0.643707
   43.629505    0.642678
   43.695510    0.641647
   43.761516    0.640616
   43.827521    0.639582
   43.893526    0.638548
   43.959531    0.637512
   44.025537    0.636475
   44.091542    0.635437
   44.157547    0.634397
   44.223553    0.633356
   44.289558    0.632314
   44.355563    0.631270
   44.421569    0.630225
   44.487574    0.629179
   44.553579    0.628131
   44.619584    0.627082
   44.685590    0.626032
   44.751595    0.624981
   44.817600    0.623928
   44.883606    0.622874
   44.949611    0.621818
   45.015616    0.620762
   45.081622    0.619704
   45.147627    0.618644
   45.213632    0.617584
   45.279637    0.616522
   45.345643    0.615458
   45.411648    0.614394
   45.477653    0.613328
   45.543659    0.612261
   45.609664    0.611192
   45.675669    0.610123
   45.741675    0.609052
   45.807680    0.607979
   45.873685    0.606906
   45.939690    0.605831
   46.005696    0.604754
   46.071701    0.603677
   46.137706    0.602598
   46.203712    0.601518
   46.269717    0.600436
   46.335722    0.599353
   46.401728    0.598269
   46.467733    0.597184
   46.533738    0.596097
   46.599744    0.595009
   46.665749    0.593920
   46.731754    0.592829
   46.797759    0.591737
   46.863765    0.590644
   46.929770    0.589550
   46.995775    0.588454
   47.061781    0.587357
   47.127786    0.586258
   47.193791    0.585159
   47.259797    0.584058
   47.325802    0.582955
   47.391807    0.581852
   47.457812    0.580747
   47.523818    0.579641
   47.589823    0.578533
   47.655828    0.577424
   47.721834    0.576314
   47.787839    0.575203
   47.853844    0.574090
   47.919850    0.572976
   47.985855    0.571861
   48.051860    0.570744
   48.117865    0.569626
   48.183871    0.568507
   48.249876    0.567387
   48.315881    0.566265
   48.381887    0.565142
   48.447892    0.564017
   48.513897    0.562892
   48.579903    0.561765
   48.645908    0.560636
   48.711913    0.559507
   48.777918    0.558376
   48.843924    0.557243
   48.909929    0.556110
   48.975934    0.554975
   49.041940    0.553839
   49.107945    0.552701
   49.173950    0.551563
   49.239956    0.550422
   49.305961    0.549281
   49.371966    0.548138
   49.437972    0.546994
   49.503977    0.545849
   49.569982    0.544703
   49.635987    0.543555
   49.701993    0.542405
   49.767998    0.541255
   49.834003    0.540103
   49.900009    0.538950
   49.966014    0.537795
   50.032019    0.536640
   50.098025    0.535483
   50.164030    0.534324
   50.230035    0.533164
   50.296040    0.532003
   50.362046    0.530841
   50.428051    0.529677
   50.494056    0.528512
   50.560062    0.527346
   50.626067    0.526179
   50.692072    0.525010
   50.758078    0.523839
   50.824083    0.522668
   50.890088    0.521495
   50.956093    0.520321
   51.022099    0.519145
   51.088104    0.517969
   51.154109    0.516790
   51.220115    0.515611
   51.286120    0.514430
   51.352125    0.513248
   51.418131    0.512065
   51.484136    0.510880
   51.550141    0.509694
   51.616146    0.508506
   51.682152    0.507318
   51.748157    0.506128
   51.814162    0.504936
   51.880168    0.503743
   51.946173    0.502549
   52.012178    0.501354
   52.078184    0.500157
   52.144189    0.498959
   52.210194    0.497760
   52.276200    0.496559
   52.342205    0.495357
   52.408210    0.494154
   52.474215    0.492949
   52.540221    0.491743
   52.606226    0.490535
   52.672231    0.489327
   52.738237    0.488116
   52.804242    0.486905
   52.870247    0.485692
   52.936253    0.484478
   53.002258    0.483262
   53.068263    0.482046
   53.134268    0.480827
   53.200274    0.479608
   53.266279    0.478387
   53.332284    0.477165
   53.398290    0.475941
   53.464295    0.474716
   53.530300    0.473490
   53.596306    0.472262
   53.662311    0.471033
   53.728316    0.469803
   53.794321    0.468571
   53.860327    0.467338
   53.926332    0.466103
   53.992337    0.464867
   54.058343    0.463630
   54.124348    0.462391
   54.190353    0.461151
   54.256359    0.459910
   54.322364    0.458667
   54.388369    0.457423
   54.454375    0.456178
   54.520380    0.454931
   54.586385    0.453683
   54.652390    0.452433
   54.718396    0.451182
   54.784401    0.449929
   54.850406    0.448676
   54.916412    0.447420
   54.982417    0.446164
   55.048422    0.444906
   55.114428    0.443646
   55.180433    0.442386
   55.246438    0.441123
   55.312443    0.439860
   55.378449    0.438595
   55.444454    0.437328
   55.510459    0.436061
   55.576465    0.434791
   55.642470    0.433521
   55.708475    0.432249
   55.774481    0.430975
   55.840486    0.429700
   55.906491    0.428424
   55.972496    0.427146
   56.038502    0.425867
   56.104507    0.424586
   56.170512    0.423304
   56.236518    0.422021
   56.302523    0.420736
   56.368528    0.419450
   56.434534    0.418162
   56.500539    0.416873
   56.566544    0.415582
   56.632549    0.414290
   56.698555    0.412996
   56.764560    0.411701
   56.830565    0.410405
   56.896571    0.409107
   56.962576    0.407807
   57.028581    0.406507
   57.094587    0.405204
