         x    flux_1    flux_2    flux_3    flux_4
   26.468126   16.468843   20.643963   24.216034   24.539149
   26.534132   16.444343   20.622450   24.202832   24.532686
   26.600137   16.419816   20.600898   24.189589   24.526180
   26.666142   16.395262   20.579307   24.176302   24.519631
   26.732147   16.370682   20.557679   24.162974   24.513041
   26.798153   16.346076   20.536011   24.149604   24.506407
   26.864158   16.321443   20.514306   24.136191   24.499732
   26.930163   16.296784   20.492562   24.122737   24.493014
   26.996169   16.272099   20.470779   24.109240   24.486253
   27.062174   16.247387   20.448959   24.095701   24.479450
   27.128179   16.222649   20.427099   24.082121   24.472605
   27.194185   16.197885   20.405202   24.068498   24.465717
   27.260190   16.173095   20.383266   24.054833   24.458787
   27.326195   16.148278   20.361292   24.041126   24.451814
   27.392201   16.123436   20.339280   24.027378   24.444799
   27.458206   16.098568   20.317229   24.013587   24.437742
   27.524211   16.073674   20.295140   23.999755   24.430643
   27.590216   16.048754   20.273013   23.985880   24.423501
   27.656222   16.023809   20.250848   23.971964   24.416316
   27.722227   15.998837   20.228645   23.958006   24.409090
   27.788232   15.973840   20.206403   23.944006   24.401821
   27.854238   15.948818   20.184123   23.929964   24.394510
   27.920243   15.923770   20.161805   23.915880   24.387156
   27.986248   15.898696   20.139449   23.901755   24.379760
   28.052254   15.873597   20.117055   23.887588   24.372322
   28.118259   15.848473   20.094622   23.873379   24.364842
   28.184264   15.823323   20.072152   23.859128   24.357319
   28.250269   15.798148   20.049643   23.844836   24.349754
   28.316275   15.772948   20.027097   23.830502   24.342147
   28.382280   15.747722   20.004512   23.816126   24.334498
   28.448285   15.722472   19.981889   23.801709   24.326806
   28.514291   15.697196   19.959229   23.787250   24.319073
   28.580296   15.671896   19.936530   23.772750   24.311297
   28.646301   15.646570   19.913793   23.758208   24.303479
   28.712307   15.621220   19.891019   23.743624   24.295618
   28.778312   15.595844   19.868206   23.728999   24.287716
   28.844317   15.570444   19.845356   23.714332   24.279771
   28.910322   15.545020   19.822467   23.699624   24.271784
   28.976328   15.519570   19.799541   23.684874   24.263756
   29.042333   15.494096   19.776577   23.670083   24.255684
   29.108338   15.468598   19.753575   23.655250   24.247571
   29.174344   15.443075   19.730535   23.640376   24.239416
   29.240349   15.417527   19.707457   23.625461   24.231219
   29.306354   15.391955   19.684341   23.610504   24.222979
   29.372360   15.366359   19.661188   23.595506   24.214698
   29.438365   15.340739   19.637996   23.580467   24.206374
   29.504370   15.315094   19.614767   23.565386   24.198009
   29.570375   15.289425   19.591500   23.550264   24.189601
   29.636381   15.263732   19.568196   23.535100   24.181151
   29.702386   15.238015   19.544853   23.519896   24.172660
   29.768391   15.212275   19.521473   23.504650   24.164126
   29.834397   15.186510   19.498055   23.489363   24.155550
   29.900402   15.160721   19.474599   23.474035   24.146933
   29.966407   15.134909   19.451106   23.458665   24.138273
   30.032413   15.109072   19.427575   23.443254   24.129571
   30.098418   15.083213   19.404006   23.427803   24.120828
   30.164423   15.057329   19.380400   23.412310   24.112042
   30.230429   15.031422   19.356756   23.396776   24.103215
   30.296434   15.005491   19.333074   23.381201   24.094346
   30.362439   14.979537   19.309355   23.365585   24.085434
   30.428444   14.953560   19.285598   23.349928   24.076481
   30.494450   14.927559   19.261804   23.334230   24.067486
   30.560455   14.901535   19.237972   23.318491   24.058449
   30.626460   14.875488   19.214102   23.302711   24.049371
   30.692466   14.849418   19.190195   23.286890   24.040250
   30.758471   14.823324   19.166250   23.271028   24.031088
   30.824476   14.797208   19.142268   23.255125   24.021883
   30.890482   14.771068   19.118248   23.239181   24.012637
   30.956487   14.744906   19.094190   23.223197   24.003349
   31.022492   14.718720   19.070095   23.207172   23.994020
   31.088497   14.692512   19.045963   23.191105   23.984648
   31.154503   14.666282   19.021793   23.174998   23.975235
   31.220508   14.640028   18.997586   23.158851   23.965780
   31.286513   14.613752   18.973341   23.142662   23.956284
   31.352519   14.587454   18.949059   23.126433   23.946745
   31.418524   14.561133   18.924739   23.110163   23.937165
   31.484529   14.534789   18.900382   23.093852   23.927544
   31.550535   14.508423   18.875987   23.077501   23.917880
   31.616540   14.482035   18.851555   23.061109   23.908175
   31.682545   14.455625   18.827085   23.044677   23.898428
   31.748550   14.429192   18.802579   23.028203   23.888640
   31.814556   14.402738   18.778034   23.011690   23.878810
   31.880561   14.376261   18.753453   22.995135   23.868938
   31.946566   14.349762   18.728834   22.978541   23.859024
   32.012572   14.323242   18.704177   22.961905   23.849070
   32.078577   14.296699   18.679484   22.945229   23.839073
   32.144582   14.270135   18.654753   22.928513   23.829035
   32.210588   14.243549   18.629984   22.911756   23.818955
   32.276593   14.216941   18.605178   22.894959   23.808834
   32.342598   14.190312   18.580335   22.878122   23.798671
   32.408603   14.163661   18.555455   22.861244   23.788467
   32.474609   14.136989   18.530537   22.844325   23.778221
   32.540614   14.110295   18.505582   22.827367   23.767934
   32.606619   14.083580   18.480590   22.810368   23.757605
   32.672625   14.056843   18.455561   22.793328   23.747235
   32.738630   14.030086   18.430494   22.776249   23.736823
   32.804635   14.003307   18.405390   22.759129   23.726370
   32.870641   13.976507   18.380248   22.741969   23.715876
   32.936646   13.949686   18.355070   22.724769   23.705340
   33.002651   13.922844   18.329854   22.707528   23.694762
   33.068657   13.895981   18.304601   22.690248   23.684144
   33.134662   13.869098   18.279311   22.672927   23.673483
   33.200667   13.842193   18.253983   22.655566   23.662782
   33.266672   13.815268   18.228618   22.638165   23.652039
   33.332678   13.788323   18.203216   22.620724   23.641255
   33.398683   13.761356   18.177777   22.603243   23.630429
   33.464688   13.734369   18.152301   22.585722   23.619563
   33.530694   13.707362   18.126787   22.568161   23.608654
   33.596699   13.680335   18.101237   22.550560   23.597705
   33.662704   13.653287   18.075649   22.532919   23.586714
   33.728710   13.626218   18.050023   22.515237   23.575682
   33.794715   13.599130   18.024361   22.497517   23.564609
   33.860720   13.572022   17.998662   22.479756   23.553495
   33.926725   13.544893   17.972925   22.461955   23.542339
   33.992731   13.517744   17.947151   22.444114   23.531142
   34.058736   13.490576   17.921340   22.426234   23.519904
   34.124741   13.463388   17.895492   22.408314   23.508625
   34.190747   13.436180   17.869607   22.390354   23.497305
   34.256752   13.408952   17.843684   22.372354   23.485944
   34.322757   13.381705   17.817724   22.354314   23.474541
   34.388763   13.354438   17.791728   22.336235   23.463097
   34.454768   13.327151   17.765694   22.318116   23.451612
   34.520773   13.299845   17.739623   22.299958   23.440086
   34.586778   13.272520   17.713514   22.281759   23.428520
   34.652784   13.245176   17.687369   22.263521   23.416911
   34.718789   13.217812   17.661187   22.245244   23.405262
   34.784794   13.190429   17.634967   22.226927   23.393572
   34.850800   13.163027   17.608710   22.208570   23.381841
   34.916805   13.135606   17.582416   22.190174   23.370069
   34.982810   13.108166   17.556085   22.171738   23.358256
   35.048816   13.080707   17.529717   22.153263   23.346402
   35.114821   13.053230   17.503312   22.134748   23.334507
   35.180826   13.025733   17.476869   22.116194   23.322571
